depot,date,service_number,actual_kms,actual_trips,seat_kms,passenger_kms,occupancy_ratio,revenue
CONTONMENT,2026-03-13,132E,320,,19139.2,16075.01408,0.8399,21045
CONTONMENT,2026-03-13,1331,294,,12583.2,14237.8908,1.1315,20831
HAKIMPET,2026-03-13,1331,256,,10810.88,9474.655232,0.8764,13862
CONTONMENT,2026-03-13,133E,286,,17105.66,16970.52529,0.9921,22217
CONTONMENT,2026-03-13,1351,294,,12583.2,17281.76688,1.3734,25285
IBRAHIMPATNAM,2026-03-13,1352,364,,21861.84,16273.9537,0.7444,21305
CONTONMENT,2026-03-13,1371,294,,12583.2,13391.04144,1.0642,19592
IBRAHIMPATNAM,2026-03-13,1371,145,,8699.796,8312.655078,0.9555,10883
IBRAHIMPATNAM,2026-03-13,1372,156,,9396.26,7083.840414,0.7539,9274
IBRAHIMPATNAM,2026-03-13,1381,157,,6810.66,11740.21571,1.7238,17177
IBRAHIMPATNAM,2026-03-13,1382,157,,6810.66,7576.178184,1.1124,11085
IBRAHIMPATNAM,2026-03-13,1391,354,,21261.24,20327.87156,0.9561,26612
HANAMKONDA,2026-03-13,13S1,314,12,19154,19203.8004,1.0026,25142
CONTONMENT,2026-03-13,1411,160,,6880,8585.552,1.2479,12562
CONTONMENT,2026-03-13,1412,160,,6880,8029.648,1.1671,11748
KUKATPALLY,2026-03-13,1412,252,,15072.12,12520.41008,0.8307,16392
HAKIMPET,2026-03-13,1431,134,,8014.54,7058.405378,0.8807,9241
HAKIMPET,2026-03-13,1432,134,,8014.54,4987.448242,0.6223,6530
IBRAHIMPATNAM,2026-03-13,1432,324,,19458.964,16777.51876,0.8622,21966
KUKATPALLY,2026-03-13,1441,132,,7894.92,5467.2321,0.6925,7158
KUKATPALLY,2026-03-13,1442,132,,7894.92,5633.814912,0.7136,7376
KUKATPALLY,2026-03-13,1451,132,,7894.92,9597.854244,1.2157,12566
KUKATPALLY,2026-03-13,1452,132,,7894.92,9951.54666,1.2605,13029
CONTONMENT,2026-03-13,1452,242,,14474.02,14028.22018,0.9692,18365
HAKIMPET,2026-03-13,1461,150,,8971.5,6454.0971,0.7194,8450
IBRAHIMPATNAM,2026-03-13,1461,156,,9396.26,6583.959382,0.7007,8620
HAKIMPET,2026-03-13,1462,140,,8373.4,5341.39186,0.6379,6993
IBRAHIMPATNAM,2026-03-13,1462,156,,9396.26,6718.3259,0.715,8796
KUKATPALLY,2026-03-13,1471,132,,7894.92,5794.081788,0.7339,7586
KUKATPALLY,2026-03-13,1472,132,,7894.92,6673.575876,0.8453,8737
IBRAHIMPATNAM,2026-03-13,1491,368,,22102.08,20048.79677,0.9071,26247
HANAMKONDA,2026-03-13,14C1,127,8,7747,11890.0956,1.5348,15567
HANAMKONDA,2026-03-13,14C2,127,8,7747,10631.2081,1.3723,13918
CONTONMENT,2026-03-13,1502,234,,14010,9008.43,0.643,11793
CONTONMENT,2026-03-13,1511,126,,7536.06,6459.157026,0.8571,8456
KUKATPALLY,2026-03-13,1512,124,,7416.44,3879.539764,0.5231,5079
CONTONMENT,2026-03-13,1512,126,,7536.06,6411.679848,0.8508,8394
KUKATPALLY,2026-03-13,1521,130,,7775.3,7918.36552,1.0184,10367
KUKATPALLY,2026-03-13,1522,122,,7296.82,4663.397662,0.6391,6105
CONTONMENT,2026-03-13,1541,136,,8134.16,8286.268792,1.0187,10848
CONTONMENT,2026-03-13,1542,136,,8134.16,7183.276696,0.8831,9404
KUKATPALLY,2026-03-13,1542,130,,7775.3,6592.67687,0.8479,8631
IBRAHIMPATNAM,2026-03-13,1552,370,,22222.2,19857.75792,0.8936,25997
HAKIMPET,2026-03-13,1561,134,,5735.2,6555.90712,1.1431,9592
HAKIMPET,2026-03-13,1562,141,,6034.8,4615.41504,0.7648,6753
HAKIMPET,2026-03-13,1571,243,,10400.4,12181.98852,1.1713,17824
HAKIMPET,2026-03-13,1581,344,,20574.64,11805.72843,0.5738,15457
IBRAHIMPATNAM,2026-03-13,1581,157,,6810.66,8565.086016,1.2576,12532
CONTONMENT,2026-03-13,1581,126,,7536.06,9102.053268,1.2078,11916
IBRAHIMPATNAM,2026-03-13,1582,157,,6810.66,10771.73986,1.5816,15760
CONTONMENT,2026-03-13,1582,126,,7536.06,5820.852744,0.7724,7621
HANAMKONDA,2026-03-13,15C1,137,7,8357,7242.1762,0.8666,9481
HANAMKONDA,2026-03-13,15C2,137,7,8357,12798.7455,1.5315,16756
HANAMKONDA,2026-03-13,15S1,328,10,20008,18303.3184,0.9148,23964
IBRAHIMPATNAM,2026-03-13,1622,354,,21261.24,15254.9397,0.7175,19971
HAKIMPET,2026-03-13,1631,258,,10895.34,11272.31876,1.0346,16493
CONTONMENT,2026-03-13,1641,134,,5658.82,9185.962506,1.6233,13440
CONTONMENT,2026-03-13,1642,134,,5658.82,8264.140728,1.4604,12091
IBRAHIMPATNAM,2026-03-13,1651,156,,9396.26,10309.57647,1.0972,13497
IBRAHIMPATNAM,2026-03-13,1652,156,,9399.39,7955.643696,0.8464,10415
IBRAHIMPATNAM,2026-03-13,1661,156,,7130.14,8457.772068,1.1862,12375
HAKIMPET,2026-03-13,1661,243,,10400.4,13436.27676,1.2919,19659
IBRAHIMPATNAM,2026-03-13,1662,156,,7130.14,10066.33165,1.4118,14728
IBRAHIMPATNAM,2026-03-13,1671,156,,9396.26,13136.91111,1.3981,17199
IBRAHIMPATNAM,2026-03-13,1672,156,,9396.26,5438.555288,0.5788,7120
HAKIMPET,2026-03-13,1672,296,,17703.76,10183.20275,0.5752,13332
IBRAHIMPATNAM,2026-03-13,1681,301,,18072.04,16414.83393,0.9083,21491
IBRAHIMPATNAM,2026-03-13,1691,304,,18252.16,23041.52678,1.2624,30166
HAKIMPET,2026-03-13,1691,148,,8851.88,5233.231456,0.5912,6851
HAKIMPET,2026-03-13,1692,148,,8851.88,5882.07426,0.6645,7701
HANAMKONDA,2026-03-13,16C1,137,7,8357,10722.8667,1.2831,14038
HANAMKONDA,2026-03-13,16C2,137,7,8357,7105.1214,0.8502,9302
IBRAHIMPATNAM,2026-03-13,1701,304,,18252.16,16187.8407,0.8869,21194
IBRAHIMPATNAM,2026-03-13,1711,129,,7727.148,7570.286896,0.9797,9911
KUKATPALLY,2026-03-13,1711,129,,7715.49,6751.825299,0.8751,8839
IBRAHIMPATNAM,2026-03-13,1712,174,,10464.972,14088.9918,1.3463,18445
HAKIMPET,2026-03-13,1712,298,,17823.38,15199.77846,0.8528,19899
KUKATPALLY,2026-03-13,1712,129,,7715.49,8003.277777,1.0373,10478
IBRAHIMPATNAM,2026-03-13,1721,129,,7727.148,6245.081014,0.8082,8176
HAKIMPET,2026-03-13,1721,148,,8851.88,5943.152232,0.6714,7781
KUKATPALLY,2026-03-13,1721,129,,7715.49,6399.998955,0.8295,8379
IBRAHIMPATNAM,2026-03-13,1722,176,,10588.578,8538.629299,0.8064,11179
HAKIMPET,2026-03-13,1722,148,,8851.88,5544.817632,0.6264,7259
KUKATPALLY,2026-03-13,1722,129,,7715.49,8572.680939,1.1111,11223
IBRAHIMPATNAM,2026-03-13,1731,129,,7727.148,7749.556729,1.0029,10146
CONTONMENT,2026-03-13,1731,126,,5320.98,5443.894638,1.0231,7965
HAKIMPET,2026-03-13,1731,344,,20574.64,11472.41926,0.5576,15021
IBRAHIMPATNAM,2026-03-13,1732,175,,10525.012,10932.32996,1.0387,14313
CONTONMENT,2026-03-13,1732,126,,5320.98,7042.31703,1.3235,10304
KUKATPALLY,2026-03-13,1732,259,,15490.79,6414.736139,0.4141,8398
HAKIMPET,2026-03-13,1741,266,,11233.18,22170.92737,1.9737,32438
IBRAHIMPATNAM,2026-03-13,1741,156,,9396.26,12984.69169,1.3819,16999
KUKATPALLY,2026-03-13,1742,252,,15072.12,14990.73055,0.9946,19626
IBRAHIMPATNAM,2026-03-13,1742,156,,9396.26,9495.860356,1.0106,12432
HAKIMPET,2026-03-13,1751,266,,11233.18,14341.40091,1.2767,20983
IBRAHIMPATNAM,2026-03-13,1751,127,,7613.072,7546.076966,0.9912,9879
IBRAHIMPATNAM,2026-03-13,1752,190,,11389.588,8317.816116,0.7303,10890
HAKIMPET,2026-03-13,1761,266,,11233.18,15841.03044,1.4102,23177
IBRAHIMPATNAM,2026-03-13,1761,126,,7553.032,6966.916717,0.9224,9121
IBRAHIMPATNAM,2026-03-13,1762,189,,11329.548,8900.492909,0.7856,11652
HAKIMPET,2026-03-13,1771,266,,11233.18,19804.09634,1.763,28976
IBRAHIMPATNAM,2026-03-13,1771,127,,7613.072,6277.739171,0.8246,8219
IBRAHIMPATNAM,2026-03-13,1772,190,,11389.588,9274.541508,0.8143,12142
HAKIMPET,2026-03-13,1781,256,,10810.88,11712.50739,1.0834,17137
IBRAHIMPATNAM,2026-03-13,1781,126,,7553.032,5596.796712,0.741,7327
IBRAHIMPATNAM,2026-03-13,1782,190,,11389.588,8792.761936,0.772,11511
HAKIMPET,2026-03-13,1791,256,,10810.88,8614.109184,0.7968,12603
CONTONMENT,2026-03-13,1791,160,,6848,8583.968,1.2535,12559
IBRAHIMPATNAM,2026-03-13,1791,160,,7266.82,13961.01458,1.9212,20426
CONTONMENT,2026-03-13,1792,132,,5649.6,7415.1,1.3125,10849
IBRAHIMPATNAM,2026-03-13,1792,156,,7130.14,9641.375308,1.3522,14106
HAKIMPET,2026-03-13,1801,277,,11697.71,11435.6813,0.9776,16732
CONTONMENT,2026-03-13,1801,294,,17584.14,16580.08561,0.9429,21707
KUKATPALLY,2026-03-13,1801,296,,12668.8,13896.40672,1.0969,20332
IBRAHIMPATNAM,2026-03-13,1811,160,,6940.8,8741.24352,1.2594,12789
KUKATPALLY,2026-03-13,1811,284,,12155.2,10249.26464,0.8432,14996
HAKIMPET,2026-03-13,1811,141,,8433.21,5117.271828,0.6068,6699
IBRAHIMPATNAM,2026-03-13,1812,157,,6810.66,8205.483168,1.2048,12005
HAKIMPET,2026-03-13,1812,134,,8014.54,6416.440724,0.8006,8400
IBRAHIMPATNAM,2026-03-13,1821,157,,6810.66,9376.235622,1.3767,13718
HAKIMPET,2026-03-13,1821,141,,8433.21,6814.03368,0.808,8921
IBRAHIMPATNAM,2026-03-13,1822,157,,6810.66,5456.019726,0.8011,7983
HAKIMPET,2026-03-13,1822,134,,8014.54,7927.181514,0.9891,10378
HAKIMPET,2026-03-13,1831,141,,8433.21,7531.699851,0.8931,9861
HAKIMPET,2026-03-13,1832,134,,8014.54,3861.405372,0.4818,5055
IBRAHIMPATNAM,2026-03-13,1832,380,,22822.8,18390.61224,0.8058,24077
CONTONMENT,2026-03-13,183D,306,,13096.8,19393.74144,1.4808,28375
HAKIMPET,2026-03-13,1841,141,,8433.21,7836.982053,0.9293,10260
CONTONMENT,2026-03-13,1841,294,,17584.14,19164.95419,1.0899,25091
HAKIMPET,2026-03-13,1842,116,,6937.96,6605.631716,0.9521,8648
HAKIMPET,2026-03-13,1851,134,,8014.54,5002.675868,0.6242,6550
HAKIMPET,2026-03-13,1852,141,,8433.21,3930.719181,0.4661,5146
KUKATPALLY,2026-03-13,1861,130,,7775.3,6873.3652,0.884,8999
HAKIMPET,2026-03-13,1861,134,,8014.54,6402.014552,0.7988,8382
IBRAHIMPATNAM,2026-03-13,1861,360,,21621.6,21658.35672,1.0017,28354
KUKATPALLY,2026-03-13,1862,130,,7775.3,5637.87003,0.7251,7381
HAKIMPET,2026-03-13,1862,141,,8433.21,3762.898302,0.4462,4926
HAKIMPET,2026-03-13,1871,134,,8014.54,8606.814506,1.0739,11268
IBRAHIMPATNAM,2026-03-13,1871,368,,22102.08,18106.02394,0.8192,23703
HAKIMPET,2026-03-13,1872,141,,8433.21,5787.712023,0.6863,7577
HAKIMPET,2026-03-13,1881,134,,5735.2,7216.60216,1.2583,10559
IBRAHIMPATNAM,2026-03-13,1881,380,,22822.8,19461.00156,0.8527,25477
HAKIMPET,2026-03-13,1882,141,,6034.8,5668.48764,0.9393,8294
HAKIMPET,2026-03-13,1891,284,,16986.04,10767.45076,0.6339,14096
HANAMKONDA,2026-03-13,18C1,139,8,8479,9075.9216,1.0704,11882
HANAMKONDA,2026-03-13,18C2,138,8,8418,7263.8922,0.8629,9510
KUKATPALLY,2026-03-13,1901,130,,7775.3,6352.4201,0.817,8317
IBRAHIMPATNAM,2026-03-13,1901,175,,10507,12694.5574,1.2082,16620
HAKIMPET,2026-03-13,1901,284,,16986.04,13038.4843,0.7676,17070
KUKATPALLY,2026-03-13,1902,130,,7775.3,5652.6431,0.727,7400
KUKATPALLY,2026-03-13,1911,130,,7775.3,7182.04461,0.9237,9403
IBRAHIMPATNAM,2026-03-13,1911,175,,10507,11120.6088,1.0584,14559
HAKIMPET,2026-03-13,1911,142,,6077.6,6713.31696,1.1046,9822
HAKIMPET,2026-03-13,1912,142,,6077.6,6830.61464,1.1239,9994
KUKATPALLY,2026-03-13,1912,130,,7775.3,7251.24478,0.9326,9493
IBRAHIMPATNAM,2026-03-13,1921,175,,10507,10449.2115,0.9945,13680
KUKATPALLY,2026-03-13,1921,130,,7775.3,5979.98323,0.7691,7829
CONTONMENT,2026-03-13,1921,160,,6848,8060.7808,1.1771,11794
HAKIMPET,2026-03-13,1922,318,,19019.58,9435.613638,0.4961,12353
KUKATPALLY,2026-03-13,1922,130,,7775.3,4531.44484,0.5828,5933
CONTONMENT,2026-03-13,1922,132,,5649.6,6802.68336,1.2041,9953
HAKIMPET,2026-03-13,1931,237,,14174.97,10079.82117,0.7111,13197
KUKATPALLY,2026-03-13,1931,130,,7775.3,6392.07413,0.8221,8369
KUKATPALLY,2026-03-13,1932,130,,7775.3,4361.9433,0.561,5711
IBRAHIMPATNAM,2026-03-13,1942,326,,19573.04,12988.66934,0.6636,17004
HAKIMPET,2026-03-13,1942,267,,15969.27,10969.29156,0.6869,14361
IBRAHIMPATNAM,2026-03-13,1951,320,,13120,7370.816,0.5618,12089
HAKIMPET,2026-03-13,1952,272,,16268.32,11431.74846,0.7027,14966
IBRAHIMPATNAM,2026-03-13,1961,320,,13120,6790.912,0.5176,11138
KUKATPALLY,2026-03-13,1961,296,,12668.8,13654.43264,1.0778,19977
CONTONMENT,2026-03-13,1961,160,,6848,10972.5504,1.6023,16054
HAKIMPET,2026-03-13,1962,279,,16686.99,10646.29962,0.638,13939
CONTONMENT,2026-03-13,1962,160,,6848,10254.88,1.4975,15004
KUKATPALLY,2026-03-13,1971,296,,12668.8,12094.90336,0.9547,17696
CONTONMENT,2026-03-13,1971,158,,6811.2,9025.52112,1.3251,13205
HAKIMPET,2026-03-13,1972,298,,17823.38,11401.61619,0.6397,14926
CONTONMENT,2026-03-13,1972,158,,6811.2,9285.70896,1.3633,13586
HAKIMPET,2026-03-13,1981,104,,6220.24,4634.0788,0.745,6067
IBRAHIMPATNAM,2026-03-13,1981,300,,18018,13236.0228,0.7346,17328
HAKIMPET,2026-03-13,1982,148,,8851.88,3329.192068,0.3761,4359
KUKATPALLY,2026-03-13,1982,126,,7536.06,4918.032756,0.6526,6439
HAKIMPET,2026-03-13,1991,142,,6077.6,5232.8136,0.861,7656
IBRAHIMPATNAM,2026-03-13,1991,342,,20540.52,15565.60606,0.7578,20379
KUKATPALLY,2026-03-13,1991,126,,7536.06,8917.419798,1.1833,11675
HAKIMPET,2026-03-13,1992,142,,6077.6,6805.69648,1.1198,9957
KUKATPALLY,2026-03-13,1992,126,,7536.06,5967.805914,0.7919,7813
HANAMKONDA,2026-03-13,19C1,127,10,7747,11260.2645,1.4535,14742
HANAMKONDA,2026-03-13,1AN1,412,8,21889.56,31682.94914,1.4474,33670
HANAMKONDA,2026-03-13,1DK2,348,8.97,18489.24,14262.59974,0.7714,15156
HANAMKONDA,2026-03-13,1GK2,350,2,19264,20119.3216,1.0444,21380
HANAMKONDA,2026-03-13,1GT2,356,8,19594.24,20033.15098,1.0224,21290
HANAMKONDA,2026-03-13,1HJ1,362,4,19924.48,12179.83462,0.6113,12944
HANAMKONDA,2026-03-13,1IJ1,300,8,16512,14862.4512,0.9001,15794
NIZAMABAD-I,2026-03-13,1IND,338,2.02,13134.68,6648.775016,0.5062,13560
HANAMKONDA,2026-03-13,1JF1,326,8,17943.04,15493.81504,0.8635,16466
HANAMKONDA,2026-03-13,1JG1,316,2,17392.64,16578.66445,0.9532,17618
HANAMKONDA,2026-03-13,1JH1,362,4,19924.48,19757.11437,0.9916,20996
HANAMKONDA,2026-03-13,1JM2,400,8,21252,17798.55,0.8375,18914
HANAMKONDA,2026-03-13,1JN1,440,8,24217.6,32187.61216,1.3291,34206
HANAMKONDA,2026-03-13,1NM2,384,10,20401.92,16541.87674,0.8108,17578
HANAMKONDA,2026-03-13,1PB1,256,7.62,14090.24,16029.05702,1.1376,17034
HANAMKONDA,2026-03-13,1PK1,364,2,20034.56,17888.85862,0.8929,19010
JANGAON,2026-03-13,1SD1,410,8,21783.3,25188.02979,1.1563,26768
HANAMKONDA,2026-03-13,1TG1,226,6.41,12439.04,9718.621952,0.7813,10328
HAKIMPET,2026-03-13,2001,141,,8433.21,5852.64774,0.694,7662
IBRAHIMPATNAM,2026-03-13,2001,356,,21381.36,21965.07113,1.0273,28758
HAKIMPET,2026-03-13,2002,125,,7476.25,4775.8285,0.6388,6253
HAKIMPET,2026-03-13,2011,142,,8493.02,6458.94171,0.7605,8456
HAKIMPET,2026-03-13,2012,142,,8493.02,6894.633636,0.8118,9026
KUKATPALLY,2026-03-13,2021,112,,6698.72,5623.57544,0.8395,7362
HAKIMPET,2026-03-13,2021,142,,6077.6,8666.6576,1.426,12680
KUKATPALLY,2026-03-13,2022,112,,6698.72,6264.642944,0.9352,8202
HAKIMPET,2026-03-13,2022,142,,6077.6,4362.50128,0.7178,6383
IBRAHIMPATNAM,2026-03-13,2031,156,,7130.14,8850.642782,1.2413,12949
KUKATPALLY,2026-03-13,2031,112,,6698.72,5947.793488,0.8879,7787
IBRAHIMPATNAM,2026-03-13,2032,156,,7130.14,5144.39601,0.7215,7527
KUKATPALLY,2026-03-13,2032,92,,5502.52,5844.226492,1.0621,7651
HAKIMPET,2026-03-13,2032,263,,15753.954,11544.49749,0.7328,15115
IBRAHIMPATNAM,2026-03-13,2041,156,,9396.26,13204.56418,1.4053,17287
KUKATPALLY,2026-03-13,2041,112,,6698.72,10989.92003,1.6406,14388
HAKIMPET,2026-03-13,2041,285,,12198,13379.9862,1.0969,19577
KUKATPALLY,2026-03-13,2042,112,,6698.72,8521.441712,1.2721,11156
IBRAHIMPATNAM,2026-03-13,2042,156,,9396.26,7822.38645,0.8325,10241
HAKIMPET,2026-03-13,2051,285,,12198,9643.7388,0.7906,14109
IBRAHIMPATNAM,2026-03-13,2051,156,,9396.26,6820.745134,0.7259,8930
IBRAHIMPATNAM,2026-03-13,2052,156,,9396.26,16390.83594,1.7444,21459
HAKIMPET,2026-03-13,2061,285,,12198,12568.8192,1.0304,18390
IBRAHIMPATNAM,2026-03-13,2061,156,,9336.22,7988.069832,0.8556,10458
IBRAHIMPATNAM,2026-03-13,2062,156,,9396.26,9073.028656,0.9656,11879
IBRAHIMPATNAM,2026-03-13,2071,156,,7130.14,7920.159512,1.1108,11588
IBRAHIMPATNAM,2026-03-13,2072,156,,7130.14,7638.518982,1.0713,11176
CONTONMENT,2026-03-13,2081,270,,9443,3031.203,0.321,5244
IBRAHIMPATNAM,2026-03-13,2081,156,,7084.58,8016.910728,1.1316,11730
HAKIMPET,2026-03-13,2082,344,,14723.2,10668.43072,0.7246,15608
IBRAHIMPATNAM,2026-03-13,2082,156,,7130.14,11288.43765,1.5832,16516
KUKATPALLY,2026-03-13,2082,300,,12840,9771.24,0.761,14296
IBRAHIMPATNAM,2026-03-13,2091,156,,9396.26,9134.104346,0.9721,11958
CONTONMENT,2026-03-13,2091,263,,9201.5,2614.14615,0.2841,4522
IBRAHIMPATNAM,2026-03-13,2092,80,,4773.18,4716.856476,0.9882,6175
HAKIMPET,2026-03-13,2092,296,,17703.76,12443.9729,0.7029,16292
KUKATPALLY,2026-03-13,2092,304,,13011.2,11353.57312,0.8726,16612
HANAMKONDA,2026-03-13,20C1,131,9,7991,9814.5462,1.2282,12849
HANAMKONDA,2026-03-13,20C2,131,9,7991,9575.6153,1.1983,12536
IBRAHIMPATNAM,2026-03-13,2101,156,,9399.39,7955.643696,0.8464,10416
IBRAHIMPATNAM,2026-03-13,2102,156,,9339.33,9106.780683,0.9751,11923
HAKIMPET,2026-03-13,2102,232,,13875.92,9548.020552,0.6881,12501
IBRAHIMPATNAM,2026-03-13,2111,156,,7130.14,8208.930182,1.1513,12010
CONTONMENT,2026-03-13,2111,289,,10111.5,1570.31595,0.1553,2716
IBRAHIMPATNAM,2026-03-13,2112,156,,7130.14,6380.762286,0.8949,9336
IBRAHIMPATNAM,2026-03-13,2121,156,,9396.26,5534.39714,0.589,7246
HAKIMPET,2026-03-13,2122,252,,15072.12,12009.46522,0.7968,15723
IBRAHIMPATNAM,2026-03-13,2122,156,,9336.22,8183.19683,0.8765,10713
HAKIMPET,2026-03-13,2131,124,,7416.44,4814.752848,0.6492,6303
CONTONMENT,2026-03-13,2131,255,,8918,1870.1046,0.2097,3235
IBRAHIMPATNAM,2026-03-13,2131,156,,9396.26,7870.307376,0.8376,10304
HAKIMPET,2026-03-13,2132,124,,7416.44,5161.84224,0.696,6758
IBRAHIMPATNAM,2026-03-13,2132,156,,9396.26,5733.597852,0.6102,7506
HAKIMPET,2026-03-13,2141,124,,7416.44,5236.748284,0.7061,6856
CONTONMENT,2026-03-13,2141,250,,8743,1884.9908,0.2156,3261
IBRAHIMPATNAM,2026-03-13,2141,87,,5211.472,4461.541179,0.8561,5841
HAKIMPET,2026-03-13,2142,115,,6878.15,6847.198325,0.9955,8964
IBRAHIMPATNAM,2026-03-13,2142,190,,11389.588,7317.81029,0.6425,9581
IBRAHIMPATNAM,2026-03-13,2151,87,,5211.472,4132.176149,0.7929,5410
IBRAHIMPATNAM,2026-03-13,2152,190,,11389.588,8021.686828,0.7043,10502
HAKIMPET,2026-03-13,2152,232,,13875.92,11845.8729,0.8537,15509
CONTONMENT,2026-03-13,2161,121,,4221,8647.1406,2.0486,13576
IBRAHIMPATNAM,2026-03-13,2161,346,,15009.48,15335.18572,1.0217,22438
CONTONMENT,2026-03-13,2162,121,,4221,5506.2945,1.3045,8645
HAKIMPET,2026-03-13,2162,260,,15550.6,7556.03654,0.4859,9892
CONTONMENT,2026-03-13,2171,121,,4221,6937.6356,1.6436,10892
IBRAHIMPATNAM,2026-03-13,2171,346,,15009.48,20277.80748,1.351,29668
CONTONMENT,2026-03-13,2172,121,,4221,5698.7721,1.3501,8947
HAKIMPET,2026-03-13,2172,324,,13867.2,12953.35152,0.9341,18952
IBRAHIMPATNAM,2026-03-13,2181,346,,15009.48,15281.15159,1.0181,22357
CONTONMENT,2026-03-13,2181,121,,4221,6887.4057,1.6317,10813
CONTONMENT,2026-03-13,2182,121,,4221,5456.0646,1.2926,8566
CONTONMENT,2026-03-13,2191,121,,4221,7175.2779,1.6999,11265
CONTONMENT,2026-03-13,2192,121,,4221,5214.6234,1.2354,8187
IBRAHIMPATNAM,2026-03-13,2201,320,,13120,6325.152,0.4821,10374
CONTONMENT,2026-03-13,2201,121,,4221,8880.984,2.104,13943
CONTONMENT,2026-03-13,2202,121,,4221,9032.5179,2.1399,14181
IBRAHIMPATNAM,2026-03-13,2211,320,,13120,7866.752,0.5996,12902
CONTONMENT,2026-03-13,2211,121,,4221,7259.2758,1.7198,11397
CONTONMENT,2026-03-13,2212,121,,4221,8372.7756,1.9836,13145
IBRAHIMPATNAM,2026-03-13,2221,320,,13120,5991.904,0.4567,9827
CONTONMENT,2026-03-13,2221,121,,4221,7700.7924,1.8244,12090
CONTONMENT,2026-03-13,2222,121,,4221,7305.2847,1.7307,11469
IBRAHIMPATNAM,2026-03-13,2231,320,,13120,4878.016,0.3718,7999
CONTONMENT,2026-03-13,2231,121,,4221,9321.6564,2.2084,14635
CONTONMENT,2026-03-13,2232,121,,4221,6003.9504,1.4224,9426
IBRAHIMPATNAM,2026-03-13,2241,320,,13120,6279.232,0.4786,10297
CONTONMENT,2026-03-13,2241,121,,4221,9818.4681,2.3261,15415
CONTONMENT,2026-03-13,2242,121,,4221,7320.4803,1.7343,11493
IBRAHIMPATNAM,2026-03-13,2251,320,,13120,5993.216,0.4568,9828
CONTONMENT,2026-03-13,2251,121,,4221,8523.4653,2.0193,13382
CONTONMENT,2026-03-13,2252,121,,4221,6382.152,1.512,10020
IBRAHIMPATNAM,2026-03-13,2261,320,,13120,7618.784,0.5807,12495
CONTONMENT,2026-03-13,2261,121,,4221,6461.0847,1.5307,10144
CONTONMENT,2026-03-13,2262,121,,4221,6477.1245,1.5345,10169
CONTONMENT,2026-03-13,2271,121,,4221,8942.1885,2.1185,14039
IBRAHIMPATNAM,2026-03-13,2271,320,,13120,6340.896,0.4833,10399
CONTONMENT,2026-03-13,2272,121,,4221,6198.1164,1.4684,9731
CONTONMENT,2026-03-13,2281,250,,8743,2308.152,0.264,3993
CONTONMENT,2026-03-13,2291,247,,8638,2860.9056,0.3312,4950
KUKATPALLY,2026-03-13,2292,259,,15490.79,11726.52803,0.757,15353
HANAMKONDA,2026-03-13,22C1,124,10,7564,10181.144,1.346,13329
HANAMKONDA,2026-03-13,22C2,124,10,7564,5837.8952,0.7718,7643
HANAMKONDA,2026-03-13,22S1,260,12,15860,17415.866,1.0981,22800
CONTONMENT,2026-03-13,2301,254,,8883,1445.2641,0.1627,2500
KUKATPALLY,2026-03-13,2301,336,,20096.16,17029.48598,0.8474,22294
CONTONMENT,2026-03-13,2311,226,,7906.5,6317.2935,0.799,10929
KUKATPALLY,2026-03-13,2311,336,,20096.16,14537.56214,0.7234,19033
KUKATPALLY,2026-03-13,2321,336,,20096.16,12927.85973,0.6433,16924
KUKATPALLY,2026-03-13,2331,336,,20096.16,12730.91736,0.6335,16667
KUKATPALLY,2026-03-13,2342,382,,22847.42,13112.13434,0.5739,17165
KUKATPALLY,2026-03-13,2352,382,,22847.42,25424.60898,1.1128,33287
KUKATPALLY,2026-03-13,2362,364,,21770.84,19225.8288,0.8831,25171
CONTONMENT,2026-03-13,2362,276,,9384,5969.1624,0.6361,9790
KUKATPALLY,2026-03-13,2372,364,,21770.84,12544.35801,0.5762,16423
CONTONMENT,2026-03-13,2372,276,,9384,4546.548,0.4845,7457
CONTONMENT,2026-03-13,2381,320,,10880,6709.696,0.6167,11004
KUKATPALLY,2026-03-13,2382,382,,22847.42,11551.65555,0.5056,15124
CONTONMENT,2026-03-13,2391,320,,10880,6296.256,0.5787,10326
KUKATPALLY,2026-03-13,2392,317,,13567.6,19896.8854,1.4665,29112
HANAMKONDA,2026-03-13,23C1,124,10,7564,9239.426,1.2215,12096
HANAMKONDA,2026-03-13,23C2,124,10,7564,10547.998,1.3945,13809
CONTONMENT,2026-03-13,2401,320,,10880,7106.816,0.6532,11656
KUKATPALLY,2026-03-13,2402,317,,13567.6,13821.31412,1.0187,20222
CONTONMENT,2026-03-13,2411,220,,9416,11028.9608,1.1713,16137
KUKATPALLY,2026-03-13,2412,317,,13567.6,16415.43924,1.2099,24018
CONTONMENT,2026-03-13,2421,220,,9416,12337.7848,1.3103,18052
KUKATPALLY,2026-03-13,2422,317,,13567.6,11551.45464,0.8514,16900
CONTONMENT,2026-03-13,2431,220,,9416,10973.4064,1.1654,16055
KUKATPALLY,2026-03-13,2431,336,,20096.16,14121.57163,0.7027,18488
KUKATPALLY,2026-03-13,2441,336,,20096.16,18160.89979,0.9037,23776
CONTONMENT,2026-03-13,2441,130,,7751.376,10862.00319,1.4013,14221
CONTONMENT,2026-03-13,2442,130,,7751.376,8512.561123,1.0982,11145
